input_line,query_name,query_birth,query_death,query_state,chosen_memorial_url,chosen_memorial_id,parsed_name,parsed_birth,parsed_death,parsed_place,parsed_bio_snippet,match_score
Staff Sergeant Michael A. Bock,Michael A Bock,,,,https://www.findagrave.com/memorial/205091686/michael-bock,205091686,Michael Bock (1822-1893) - Find a Grave Memorial,18,18,"Burial Saint Marys Cemetery East Orange , Essex County , New Jersey , USA Add to Map Memorial ID 205091686 205091686",,0.274
Sergeant Jess Thomas,Jess Thomas,,,,https://www.findagrave.com/memorial/158673720/jess-thomas,158673720,Jess Thomas (1878-1933) - Find a Grave Memorial,18,19,"Burial Kensico Cemetery Valhalla , Westchester County , New York , USA Add to Map Memorial ID 158673720 158673720",,0.270
Specialist Ronald Gaffney,Ronald Gaffney,,,,https://www.findagrave.com/memorial/676452/ronald-c-gaffney,676452,SSGT Ronald C Gaffney (1939-1966) - Find a Grave...,19,19,Cemetery Memorial Photos 1 Flowers 2 Photo added by Kurt Kneeland Birth 10 Feb 1939 Death 9 Sep 1966,,0.469
Jim Tullis,Jim Tullis,,,,https://www.findagrave.com/memorial/193057125/jimmie-r-tullis,193057125,Jimmie R Tullis (1940-2018) - Find a Grave...,19,20,Burial Burial Details Unknown,,0.277
Allan Bense,Allan Bense,,,,https://www.findagrave.com/memorial/14773553/bruce-bechdel,14773553,Bruce Allen Bechdel (1936-1980) - Find a Grave...,19,19,Cemetery Memorial Photos 7 Flowers 362 Photo added by Leanne Keefer Add Photos Request Photo Adding photos to this memorial is not allowed,,0.375
Dr. Martin Luther King Jr.,Martin Luther King Jr,,,,,,,,,,,0.000
Dr. Von Mizell,Von Mizell,,,,,,,,,,,0.000
Robert L. Clark,Robert L Clark,,,,,,,,,,,0.000
Sheriff Charles Simeon Dean,Sheriff Charles Simeon Dean,,,,,,,,,,,0.000
James Harold Thompson,James Harold Thompson,,,,,,,,,,,0.000
Gulf County Veterans,Gulf County Veterans,,,,,,,,,,,0.000
Sergeant Paul Smith,Paul Smith,,,,,,,,,,,0.000
Sergeant Marvin L. Roberts,Marvin L Roberts,,,,,,,,,,,0.000
Specialist Alexander Miller,Alexander Miller,,,,,,,,,,,0.000
Sheriff Chris Daniels,Sheriff Chris Daniels,,,,,,,,,,,0.000
CK Steele,CK Steele,,,,,,,,,,,0.000
Deputy Tony Forgione,Deputy Tony Forgione,,,,,,,,,,,0.000
Deputy Bill Myers,Deputy Bill Myers,,,,,,,,,,,0.000
"John B. Arnold, Jr.",John B Arnold Jr,,,,,,,,,,,0.000
U.S. Army CPL Frank R. Gross,US Army CPL Frank R Gross,,,,,,,,,,,0.000
Submarine Veterans,Submarine Veterans,,,,,,,,,,,0.000
Dr. R.C. Sproul,RC Sproul,,,,,,,,,,,0.000
David G. Ledgerwood,David G Ledgerwood,,,,,,,,,,,0.000
Rev. Dr. Thomas A. Wright,Dr Thomas A Wright,,,,,,Draven Slade Wright (1995-1995) - Find a Grave...,19,19,"Burial Resurrection Memorial Cemetery Oklahoma City , Oklahoma County , Oklahoma , USA Add to Map Plot Babyland Memorial ID 121875761 121875761",,0.242
Candice Ellize Francois,Candice Ellize Francois,,,,,,,,,,,0.000
Governor Mixson,Governor Mixson,,,,,,,,,,,0.000
The Hope and Healing,The Hope and Healing,,,,,,,,,,,0.000
John U. Lloyd,John U Lloyd,,,,,,,,,,,0.000
Wilbur Barry,Wilbur Barry,,,,https://www.findagrave.com/memorial/24621459/wilbur-c-barry,24621459,Wilbur C. Barry (1917-1972) - Find a Grave...,19,19,"Burial Loudon Park Cemetery Baltimore , City of Baltimore , Maryland , USA Add to Map Plot Magnolia Section, Plot 203 Memorial ID 24621459 24621459",,0.325
SP4 Robert Clifford Millender,SP4 Robert Clifford Millender,,,,,,,,,,,0.000
Francisco A. Rodriguez,Francisco A Rodriguez,,,,,,,,,,,0.000
Helen Gordon Davis,Helen Gordon Davis,,,,,,Helen Davis (1880-1883) - Find a Grave Memorial,18,18,"Burial Burlingame City Cemetery Burlingame , Osage County , Kansas , USA Add to Map Memorial ID 18891232 18891232",,0.238
Deputy A. Hagood Ellzey,Deputy A Hagood Ellzey,,,,,,,,,,,0.000
Trooper Patrick Ambroise,Patrick Ambroise,,,,https://www.findagrave.com/memorial/6003331/j-siemon,6003331,J. Heinrich Siemon (1829-1900) - Find a Grave...,18,19,Cemetery Memorial Photos 5 Flowers 150 Photo added by Sharlotte Neely Donnelly Add Photos Request Photo Adding photos to this memorial is not allowed,,0.315
Deputy Christopher Smith,Deputy Christopher Smith,,,,,,,,,,,0.000
Rep. J. Troy Peacock,Rep J Troy Peacock,,,,,,,,,,,0.000
Lieutenant Benedict J. Thomas,Benedict J Thomas,,,,https://www.findagrave.com/memorial/171308517/benedict-thomas,171308517,Benedict Thomas (unknown-1991) - Find a Grave...,19,,Interment Date,,0.342
Edith Lederberg,Edith Lederberg,,,,,,,,,,,0.000
Trooper John C. Hagerty,John C Hagerty,,,,,,,,,,,0.000
