input_line,query_name,query_birth,query_death,query_state,chosen_memorial_url,chosen_memorial_id,parsed_name,parsed_birth,parsed_death,parsed_place,parsed_bio_snippet,match_score
Green Arrow Route,Green Arrow Route,,,,https://www.findagrave.com/memorial/81371553/green-samuel-route,81371553,Green Samuel Route (1889-1962) - Find a Grave...,18,19,"Buried at Jefferson Barracks National Cemetery, Lemay Township, St",,0.296
Green Arrow Route-Mackinac Trail,Green Arrow Route-Mackinac Trail,,,,https://www.findagrave.com/memorial/39664831/greenberry-allen-trail,39664831,Greenberry Allen Trail (1824-1893) - Find a Grave...,18,18,"Burial Trail Cemetery Burna , Livingston County , Kentucky , USA Add to Map Memorial ID 39664831 39664831",,0.410
Charles J. Rogers Interchange,Charles J Rogers Interchange,,,,,,CPL Sok Khak Ung (1981-2003) - Find a Grave...,19,20,Cemetery Memorial Photos 4 Flowers 2305 Photo added by G,,0.177
SPC Robert Friese Memorial Highway,Robert Friese Memorial Highway,,,,https://www.findagrave.com/memorial/259168929/r-highway,259168929,R. Highway (unknown-1801) - Find a Grave Memorial,18,,Buried at Clee St,,0.267
Tuskegee Airmen Memorial Highway,Tuskegee Airmen Memorial Highway,,,,https://www.findagrave.com/memorial/5023238/lewis-antill,5023238,Lewis E. Antill (1866-1945) - Find a Grave...,18,19,"Burial Highland Cemetery Cameron , Marshall County , West Virginia , USA Add to Map Memorial ID 5023238 5023238",,0.341
David Warsen Memorial Highway,David Warsen Memorial Highway,,,,https://www.findagrave.com/memorial/222478860/david-highway,222478860,David Highway (1938-1939) - Find a Grave Memorial,19,19,"Burial Saint Michaels and All Angels Cemetery Big Eddy , Flin Flon-Northwest Census Division , Manitoba , Canada Add to Map Memorial ID 222478860 222478860",,0.488
Earle Memorial Highway,Earle Memorial Highway,,,,,,Julia Ann Bloom Willmett (1923-2013) - Find a...,19,20,"Burial Sunset Lawn Chapel of the Chimes Memorial Park Sacramento , Sacramento County , California , USA Add to Map Memorial ID 114117325 114117325",,0.147
G. Mennen Williams Highway and Prentiss M. Brown Memorial Highway,G Mennen Williams Highway and Prentiss M Brown Memorial Highway,,,,https://www.findagrave.com/memorial/247040768/george-highway,247040768,George Highway (unknown-1864) - Find a Grave...,18,,"Buried at Witton Cemetery, Witton, Metropolitan Borough of Birmingham, West Midlands, England, Europe George Highway",,0.367
Specialist 5 Michael May and Corporal Chris Esckelson Memorial Highway,5 Michael May and Corporal Chris Esckelson Memorial Highway,,,,,,,,,,,0.000
Pulaski Memorial Highway,Pulaski Memorial Highway,,,,,,,,,,,0.000
American Legion Memorial Highway,American Legion Memorial Highway,,,,,,,,,,,0.000
Corpsman Aaron D. Ullom Memorial Bridge,Corpsman Aaron D Ullom Memorial Bridge,,,,,,,,,,,0.000
Adler Memorial Highway,Adler Memorial Highway,,,,,,,,,,,0.000
Marine Lance Corporal Ryan Burgess Memorial Highway,Lance Corporal Ryan Burgess Memorial Highway,,,,,,,,,,,0.000
Gold Star Mothers Memorial Highway,Gold Star Mothers Memorial Highway,,,,,,,,,,,0.000
Iron Brigade Memorial Highway,Iron Brigade Memorial Highway,,,,,,,,,,,0.000
Moses J. Jones Parkway,Moses J Jones Parkway,,,,,,,,,,,0.000
